,Country,Pop 2018
0,Afghanistan,37172386.0
1,United Arab Emirates,9630959.0
2,Australia,24992369.0
3,Belgium,11422068.0
4,Bahrain,1569439.0
5,Canada,37058856.0
6,China,1392730000.0
7,Germany,82927922.0
8,Egypt,98423595.0
9,Spain,46723749.0
10,Finland,5518050.0
11,France,66987244.0
12,United Kingdom,66488991.0
13,Hong Kong,7451000.0
14,India,1352617328.0
15,Iran,81800269.0
16,Iraq,38433600.0
17,Israel,8883800.0
18,Italy,60431283.0
19,Japan,126529100.0
20,Cambodia,16249798.0
21,South Korea,51635256.0
22,Kuwait,4137309.0
23,Lebanon,6848925.0
24,Sri Lanka,21670000.0
25,Macau,631636.0
26,Malaysia,31528585.0
27,Nepal,28087871.0
28,Oman,4829483.0
29,Philippines,106651922.0
30,Russia,144478050.0
31,Singapore,5638676.0
32,Sweden,10183175.0
33,Thailand,69428524.0
34,United States,327167434.0
35,Vietnam,95540395.0
36,Taiwan,23780000.0
